id,docid,type,eid,entity,prov,is_correct,category,expectation
16106,overlappingpdfs.138449.pdf.task,formation,ROCK_DOC_overlappingpdfs.138449.pdf.task_204_27_27,river formation,"{204,27,27,River}",,1,0.996
121061,overlappingpdfs.131915.pdf.task,shale,ROCK_DOC_overlappingpdfs.131915.pdf.task_40_36_36,waldron shale,"{40,36,36,Waldron}",,1,1
116121,overlappingpdfs.132435.pdf.task,formation,ROCK_DOC_overlappingpdfs.132435.pdf.task_332_8_8,laishike formation,"{332,8,8,Laishike}",,1,1
14846,overlappingpdfs.132858.pdf.task,formation,ROCK_DOC_overlappingpdfs.132858.pdf.task_1037_10_11,cutler formation,"{1037,10,11,""Cutler Formation""}",,1,0.996
58453,overlappingpdfs.138622.pdf.task,formation,ROCK_DOC_overlappingpdfs.138622.pdf.task_4633_0_0,harrison formation,"{4633,0,0,Harrison}",,1,1
148041,overlappingpdfs.138624.pdf.task,group,ROCK_DOC_overlappingpdfs.138624.pdf.task_3299_16_16,hamilton group,"{3299,16,16,Hamilton}",,1,1
90018,overlappingpdfs.138519.pdf.task,formation,ROCK_DOC_overlappingpdfs.138519.pdf.task_3508_10_11,snake creek formation,"{3508,10,11,""Snake Creek""}",,1,1
99296,overlappingpdfs.133075.pdf.task,formation,ROCK_DOC_overlappingpdfs.133075.pdf.task_222_10_10,shenjiawan formation,"{222,10,10,Shenjiawan}",,1,0.996
72270,overlappingpdfs.132440.pdf.task,group,ROCK_DOC_overlappingpdfs.132440.pdf.task_140_21_23,great oolite group,"{140,21,23,""Great Oolite Group""}",,1,1
139545,overlappingpdfs.136084.pdf.task,sandstone,ROCK_DOC_overlappingpdfs.136084.pdf.task_247_10_10,flathead sandstone,"{247,10,10,Flathead}",,1,0.996
63455,overlappingpdfs.132120.pdf.task,formation,ROCK_DOC_overlappingpdfs.132120.pdf.task_1014_12_12,clearwater formation,"{1014,12,12,Clearwater}",,1,1
32496,overlappingpdfs.132965.pdf.task,group,ROCK_DOC_overlappingpdfs.132965.pdf.task_716_6_7,tetori group,"{716,6,7,""Tetori Group""}",,1,1
