id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
607613,overlappingpdfs.130492.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130492.pdf.task_10_17_17,TIME_DOC_overlappingpdfs.130492.pdf.task_10_20_21,tullock formation,Early Paleocene|65.5000|61.7000,,1,1
595257,overlappingpdfs.132384.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132384.pdf.task_203_8_8,TIME_DOC_overlappingpdfs.132384.pdf.task_203_4_4,tlayua formation,Albian|113.00000|100.50000,,1,1
599622,overlappingpdfs.133117.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133117.pdf.task_347_22_23,TIME_DOC_overlappingpdfs.133117.pdf.task_347_20_21,collingwood oil shale,Late Ordovician|460.9000|443.7000,,1,1
612145,overlappingpdfs.132859.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132859.pdf.task_373_8_10,TIME_DOC_overlappingpdfs.132859.pdf.task_373_4_4,dinosaur park formation,Campanian|83.60000|72.10000,,1,0.999
598758,overlappingpdfs.132255.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132255.pdf.task_274_12_14,TIME_DOC_overlappingpdfs.132255.pdf.task_274_16_17,bembridge limestone formation,Late Eocene|37.2000|33.9000,,1,0.996
601449,overlappingpdfs.133044.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133044.pdf.task_1759_3_4,TIME_DOC_overlappingpdfs.133044.pdf.task_1759_8_9,holm dal formation,Middle Cambrian|513.0000|501.0000,,1,0.996
607251,overlappingpdfs.132634.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132634.pdf.task_1164_6_6,TIME_DOC_overlappingpdfs.132634.pdf.task_1164_5_5,calvert formation,Miocene|23.03000|5.33300,t,1,0.999
604092,overlappingpdfs.138519.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138519.pdf.task_1383_16_17,TIME_DOC_overlappingpdfs.138519.pdf.task_1383_21_21,sheep creek formation,Barstovian|15.97000|13.60000,,1,1
618299,overlappingpdfs.138624.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138624.pdf.task_2498_0_1,TIME_DOC_overlappingpdfs.138624.pdf.task_2498_8_8,springvale sandstone,Southwoodian|397.5000|391.8000,,1,0.996
603967,overlappingpdfs.132162.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132162.pdf.task_47_3_4,TIME_DOC_overlappingpdfs.132162.pdf.task_47_2_2,yixian formation,Cretaceous|145.00000|66.00000,t,1,1
589464,overlappingpdfs.131382.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.131382.pdf.task_609_19_20,TIME_DOC_overlappingpdfs.131382.pdf.task_609_22_23,solsville member,Middle Devonian|397.5000|385.3000,,1,1
613684,overlappingpdfs.130860.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130860.pdf.task_226_12_13,TIME_DOC_overlappingpdfs.130860.pdf.task_226_16_17,cape burney member,Late Pleistocene|1.8060|0.0781,,1,0.996
606753,overlappingpdfs.132862.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132862.pdf.task_3312_25_25,TIME_DOC_overlappingpdfs.132862.pdf.task_3312_21_21,condroz sandstone,Famennian|372.20000|358.90000,,1,0.996
600620,overlappingpdfs.133025.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133025.pdf.task_6_8_8,TIME_DOC_overlappingpdfs.133025.pdf.task_6_6_7,nayband formation,Late Triassic|228.0000|199.6000,,1,1
595228,overlappingpdfs.138658.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138658.pdf.task_3725_13_13,TIME_DOC_overlappingpdfs.138658.pdf.task_3725_25_25,traverse group,Cazenovian|391.90000|383.70000,,1,0.996
586178,overlappingpdfs.132725.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132725.pdf.task_335_7_8,TIME_DOC_overlappingpdfs.132725.pdf.task_335_5_6,lance formation,Late Cretaceous|99.6000|65.5000,,1,1
608452,overlappingpdfs.130192.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130192.pdf.task_213_14_14,TIME_DOC_overlappingpdfs.130192.pdf.task_213_25_25,guelph formation,Lockport|428.20000|422.90000,,1,1
622084,overlappingpdfs.132458.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132458.pdf.task_732_9_10,TIME_DOC_overlappingpdfs.132458.pdf.task_732_15_15,wessex formation,Barremian|129.40000|125.00000,,1,1
597942,overlappingpdfs.133007.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133007.pdf.task_201_17_19,TIME_DOC_overlappingpdfs.133007.pdf.task_201_15_16,totland bay member,Late Eocene|37.2000|33.9000,,1,0.999
614235,overlappingpdfs.132581.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132581.pdf.task_395_11_12,TIME_DOC_overlappingpdfs.132581.pdf.task_395_10_10,limestone formation,Wenlock|433.40000|427.40000,,1,0.997
587697,overlappingpdfs.132275.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132275.pdf.task_1062_11_11,TIME_DOC_overlappingpdfs.132275.pdf.task_1062_7_8,qingyan formation,Middle Triassic|245.0000|228.0000,t,1,1
